time,thrust
0.656,414.8390684
0.657,415.2832038
0.658,415.7345074
0.659,416.1399341
0.66,415.7539833
0.661,414.7056839
0.662,414.0588079
0.663,414.2749922
0.664,416.2760768
0.665,417.746709
0.666,416.5636461
0.667,413.7275791
0.668,411.0993921
0.669,410.0869341
0.67,411.7009318
0.671,413.5027384
0.672,413.2615867
0.673,410.8871566
0.674,408.0611252
0.675,405.9863289
0.676,406.431898
0.677,407.4451943
0.678,406.3209113
0.679,404.0124293
0.68,403.1720099
0.681,403.9114782
0.682,405.3405344
0.683,405.9223007
0.684,404.6073415
0.685,402.118219
0.686,401.1530716
0.687,401.9369832
0.688,403.2341432
0.689,403.8202104
0.69,403.3955509
0.691,402.1680447
0.692,400.9735126
0.693,400.5846944
0.694,400.9456778
0.695,402.466488
0.696,403.6460883
0.697,403.5454349
0.698,402.3466017
0.699,401.3427457
0.7,401.5560626
0.701,403.2417431
0.702,405.3044748
0.703,405.8561343
0.704,404.0207584
0.705,402.4032981
0.706,402.1004993
0.707,402.9546599
0.708,404.1385612
0.709,405.1188835
0.71,405.0368676
0.711,404.0903577
0.712,403.0936699
0.713,402.4066516
0.714,402.4364607
0.715,403.5099706
0.716,404.7053411
0.717,404.9387292
0.718,403.7169576
0.719,402.3059435
0.72,402.0647919
0.721,403.3304115
0.722,404.8039111
0.723,404.2674265
0.724,402.6643027
0.725,401.6346409
0.726,401.0924217
0.727,401.304305
0.728,400.4051057
0.729,399.0471369
0.73,399.3077644
0.731,400.8156717
0.732,401.6354247
0.733,400.8466169
0.734,398.396203
0.735,398.6553969
0.736,402.4141424
0.737,404.5299193
0.738,403.5590373
0.739,400.687129
0.74,397.5198877
0.741,396.7368145
0.742,397.8791398
0.743,399.1676979
0.744,400.1580557
0.745,400.4846314
0.746,400.4800328
0.747,400.8338479
0.748,401.5045008
0.749,401.6404003
0.75,400.9935243
0.751,400.1316001
0.752,399.7212772
0.753,401.6420771
0.754,404.0245139
0.755,404.4299405
0.756,402.3250375
0.757,399.8287467
0.758,398.8922725
0.759,401.1901236
0.76,404.3553359
0.761,405.0732994
0.762,402.7934905
0.763,400.3932546
0.764,398.8317068
0.765,399.2084604
0.766,399.9020517
0.767,399.8171684
0.768,398.852021
0.769,397.9915304
0.77,397.2529005
0.771,396.1988666
0.772,395.2437548
0.773,395.0843214
0.774,395.511253
0.775,395.3202792
0.776,394.8167687
0.777,393.5863952
0.778,392.6628238
0.779,392.6668271
