time,thrust
4.0992,79.15083543
4.0994,79.15083543
4.0996,79.15083543
4.0998,79.06228056
4.1,79.01800312
4.1002,78.92944825
4.1004,78.92944825
4.1006,78.92944825
4.1008,78.92944825
4.101,78.92944825
4.1012,78.92944825
4.1014,78.92944825
4.1016,78.92944825
4.1018,78.97372569
4.102,78.97372569
4.1022,79.01800312
4.1024,79.01800312
4.1026,79.01800312
4.1028,79.01800312
4.103,79.01800312
4.1032,79.01800312
4.1034,79.01800312
4.1036,78.97372569
4.1038,78.92944825
4.104,78.88517082
4.1042,78.84089338
4.1044,78.79661595
4.1046,78.75233851
4.1048,78.70806108
4.105,78.66378364
4.1052,78.61950621
4.1054,78.57522877
4.1056,78.57522877
4.1058,78.57522877
4.106,78.57522877
4.1062,78.57522877
4.1064,78.61950621
4.1066,78.61950621
4.1068,78.61950621
4.107,78.61950621
4.1072,78.61950621
4.1074,78.61950621
4.1076,78.57522877
4.1078,78.53095134
4.108,78.44239647
4.1082,78.3538416
4.1084,78.22100929
4.1086,78.13245442
4.1088,78.04389955
4.109,77.95534468
4.1092,77.86678981
4.1094,77.77823494
4.1096,77.73395751
4.1098,77.68968007
4.11,77.68968007
4.1102,77.68968007
4.1104,77.68968007
4.1106,77.68968007
4.1108,77.64540264
4.111,77.6011252
4.1112,77.55684777
4.1114,77.4682929
4.1116,77.37973803
4.1118,77.29118316
4.112,77.20262829
4.1122,77.11407342
4.1124,77.06979598
4.1126,77.02551855
4.1128,77.02551855
4.113,77.02551855
4.1132,77.02551855
4.1134,77.06979598
4.1136,77.11407342
4.1138,77.15835085
4.114,77.20262829
4.1142,77.24690572
4.1144,77.24690572
4.1146,77.24690572
4.1148,77.24690572
4.115,77.24690572
4.1152,77.29118316
4.1154,77.33546059
4.1156,77.37973803
4.1158,77.42401546
4.116,77.4682929
4.1162,77.51257033
4.1164,77.55684777
4.1166,77.6011252
4.1168,77.6011252
4.117,77.6011252
4.1172,77.55684777
4.1174,77.51257033
4.1176,77.4682929
4.1178,77.42401546
4.118,77.37973803
4.1182,77.33546059
4.1184,77.29118316
4.1186,77.24690572
4.1188,77.24690572
4.119,77.24690572
4.1192,77.24690572
4.1194,77.24690572
4.1196,77.24690572
4.1198,77.24690572
4.12,77.24690572
4.1202,77.24690572
4.1204,77.24690572
4.1206,77.24690572
4.1208,77.24690572
4.121,77.24690572
4.1212,77.24690572
4.1214,77.24690572
4.1216,77.24690572
4.1218,77.24690572
4.122,77.24690572
4.1222,77.24690572
4.1224,77.20262829
4.1226,77.15835085
4.1228,77.11407342
4.123,77.06979598
4.1232,77.02551855
4.1234,76.98124111
4.1236,76.93696368
4.1238,76.89268624
4.124,76.84840881
4.1242,76.80413137
4.1244,76.80413137
4.1246,76.80413137
4.1248,76.80413137
4.125,76.80413137
4.1252,76.80413137
4.1254,76.75985394
4.1256,76.7155765
4.1258,76.67129907
4.126,76.62702163
4.1262,76.5827442
4.1264,76.53846676
4.1266,76.49418933
4.1268,76.49418933
4.127,76.49418933
4.1272,76.49418933
4.1274,76.53846676
4.1276,76.5827442
4.1278,76.62702163
4.128,76.62702163
4.1282,76.62702163
4.1284,76.62702163
4.1286,76.5827442
4.1288,76.49418933
4.129,76.40563446
4.1292,76.27280215
4.1294,76.13996985
4.1296,76.00713754
4.1298,75.87430524
4.13,75.78575037
4.1302,75.6971955
4.1304,75.65291806
4.1306,75.65291806
4.1308,75.65291806
4.131,75.65291806
4.1312,75.6971955
4.1314,75.78575037
4.1316,75.8300278
4.1318,75.87430524
4.132,75.91858267
4.1322,75.96286011
4.1324,75.96286011
4.1326,75.96286011
4.1328,75.96286011
4.133,75.91858267
4.1332,75.87430524
4.1334,75.78575037
4.1336,75.74147293
4.1338,75.6971955
4.134,75.65291806
4.1342,75.60864063
4.1344,75.56436319
4.1346,75.52008576
4.1348,75.47580832
4.135,75.47580832
4.1352,75.47580832
4.1354,75.47580832
4.1356,75.47580832
4.1358,75.52008576
4.136,75.56436319
4.1362,75.60864063
4.1364,75.65291806
4.1366,75.65291806
4.1368,75.65291806
4.137,75.65291806
4.1372,75.65291806
4.1374,75.60864063
4.1376,75.56436319
4.1378,75.47580832
4.138,75.38725345
4.1382,75.29869858
4.1384,75.21014371
4.1386,75.16586628
4.1388,75.12158884
4.139,75.07731141
4.1392,75.07731141
4.1394,75.07731141
4.1396,75.07731141
4.1398,75.07731141
4.14,75.12158884
4.1402,75.12158884
4.1404,75.12158884
4.1406,75.16586628
4.1408,75.16586628
4.141,75.16586628
4.1412,75.12158884
4.1414,75.12158884
4.1416,75.12158884
4.1418,75.12158884
4.142,75.07731141
4.1422,75.07731141
4.1424,75.07731141
4.1426,75.03303397
4.1428,74.98875654
4.143,74.9444791
4.1432,74.90020167
4.1434,74.8116468
4.1436,74.72309193
4.1438,74.63453706
4.144,74.54598219
4.1442,74.45742732
4.1444,74.36887245
4.1446,74.23604014
4.1448,74.19176271
4.145,74.14748527
4.1452,74.10320784
4.1454,74.10320784
4.1456,74.10320784
4.1458,74.10320784
4.146,74.10320784
4.1462,74.10320784
4.1464,74.10320784
4.1466,74.10320784
4.1468,74.0589304
4.147,74.01465297
4.1472,73.97037553
4.1474,73.9260981
4.1476,73.88182066
4.1478,73.88182066
4.148,73.88182066
4.1482,73.88182066
4.1484,73.88182066
4.1486,73.97037553
4.1488,74.0589304
4.149,74.14748527
4.1492,74.23604014
4.1494,74.32459501
4.1496,74.41314988
4.1498,74.45742732
4.15,74.50170475
4.1502,74.54598219
4.1504,74.59025962
4.1506,74.59025962
4.1508,74.59025962
4.151,74.59025962
4.1512,74.59025962
4.1514,74.59025962
4.1516,74.59025962
4.1518,74.54598219
4.152,74.50170475
4.1522,74.45742732
4.1524,74.41314988
4.1526,74.36887245
4.1528,74.32459501
4.153,74.28031758
4.1532,74.23604014
4.1534,74.19176271
4.1536,74.14748527
4.1538,74.14748527
4.154,74.14748527
4.1542,74.14748527
4.1544,74.10320784
4.1546,74.10320784
4.1548,74.0589304
4.155,74.01465297
4.1552,73.97037553
4.1554,73.9260981
4.1556,73.88182066
4.1558,73.83754323
4.156,73.79326579
4.1562,73.70471092
4.1564,73.66043349
4.1566,73.57187862
4.1568,73.52760118
4.157,73.48332375
4.1572,73.43904631
4.1574,73.39476888
4.1576,73.35049144
4.1578,73.30621401
4.158,73.26193657
