time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],altitude [km],downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_abs [m/s]
0.43,0.15384268906598705,0.024091122199799468,4.4591671812372535,0.5994431498161298,0.09387029219086805,17.375003238087217,0.0044591671812372535,1.5571754926115312E-4,-1.3268449546562913,-0.20777837501983248,17.375003238087217,17.426830661665477
0.44,0.15990921471904038,0.025041114765083076,4.635006879961098,0.6138721035330773,0.09612980604440671,17.793229916682296,0.0046350068799610985,1.6185800684778687E-4,-1.3290430107225073,-0.20812258141413512,17.793229916682296,17.844010233161228
0.45,0.1661430082816594,0.02601730078599281,4.815694879097125,0.6339293814662755,0.0992706919494676,18.37459492042524,0.004815694879097125,1.6816777081554113E-4,-1.3255677052300192,-0.2075783630972981,18.37459492042524,18.423516412663787
0.46,0.17258879538988053,0.027026684110223707,5.002527561915697,0.655234807380391,0.10260703261233506,18.992137792272434,0.005002527561915697,1.7469211186577335E-4,-1.3209068476225516,-0.20684849227367252,18.992137792272434,19.039140713790495
0.47000000000000003,0.17924757420504722,0.02806942104567086,5.195533860362374,0.6764800753771825,0.10593395279674926,19.607936972480783,0.005195533860362375,1.8143204032428523E-4,-1.3163559212931766,-0.2061358362287939,19.607936972480783,19.653154383235282
0.48,0.18611767566584844,0.02914525022430796,5.394665396295388,0.6974979322100265,0.1092252613432396,20.21714458564699,0.005394665396295389,1.8838586678913968E-4,-1.3120640738063714,-0.20546375084797233,20.21714458564699,20.260717230237464
0.49,0.1931963812726311,0.030253745940449925,5.599843373351332,0.7181963977592054,0.11246655454944275,20.81709456597579,0.005599843373351332,1.9555083963069335E-4,-1.3081045014741681,-0.20484369836778493,20.81709456597579,20.85915924711053
0.5,0.20048108484488922,0.03139450007712074,5.810968372076628,0.738986438918963,0.11572218811356845,21.387279139343143,0.005810968372076628,2.029243209072683E-4,-1.3040477440531522,-0.2042084271088257,21.387279139343143,21.427971219521805
0.51,0.20798661100509488,0.03256983410824751,6.02681340178446,0.7621416178954759,0.1193481923758973,21.77955057799161,0.00602681340178446,2.1052131590702027E-4,-1.2975180406537516,-0.20318590284408186,21.77955057799161,21.819112286163964
0.52,0.21572334297955875,0.033781374003679,6.246537681488727,0.7851932409770295,0.12295798021783512,22.164503734285457,0.006246537681488727,2.1835233439524473E-4,-1.290921624342387,-0.20215293161611753,22.164503734285457,22.202985615342584
0.53,0.2236907797196479,0.035029041301293175,6.470104109517245,0.8082738776669959,0.1265723114696027,22.547843125448285,0.006470104109517245,2.2641686921709642E-4,-1.2841281619096945,-0.201089103789008,22.547843125448285,22.585275105114345
0.54,0.231888907649583,0.03631283387517975,6.697491282422107,0.8313891103520046,0.1301920603096173,22.930452035620583,0.006697491282422107,2.3471490663134976E-4,-1.2771354562096944,-0.19999407529887506,22.930452035620583,22.966860977538023
0.55,0.24031853060382594,0.03763287760245622,6.928708799224298,0.8545326954150865,0.13381624901355374,23.312859496186633,0.006928708799224298,2.4324726026868932E-4,-1.2699551694831126,-0.19886967240387968,23.312859496186633,23.34827088175992
0.56,0.24898019362369447,0.038989257834315214,7.163766176425868,0.8778105800525076,0.1374614684695943,23.69894976807349,0.007163766176425869,2.520144818127782E-4,-1.2624864713893675,-0.1977001054940564,23.69894976807349,23.733376867437638
0.5700000000000001,0.25787488254913093,0.04038212894917192,7.402693649422653,0.9011627178932204,0.14111831566696656,24.08775521058362,0.007402693649422653,2.6101756911785766E-4,-1.2547955927301213,-0.1964957460361673,24.08775521058362,24.121216255461572
